Question,Option A,Option B,Option C,Option D,Correct,Reasoning
Which part of the human eye controls the amount of light entering?,Lens,Retina,Cornea,Iris,D,The iris adjusts the size of the pupil and regulates light entry.
What is the function of the retina?,Adjusts the size of pupil,Reflects light,Forms images,Controls eye movement,C,The retina receives light and forms images for the brain to process.
Which cell in the retina helps us see in dim light?,Cone,Rod,Ganglion,Bipolar,B,Rod cells are sensitive to low light (night vision).
The defect where distant objects appear blurred is called:,Hypermetropia,Astigmatism,Myopia,Presbyopia,C,Myopia (short sightedness): distant objects are not sharply focused.
Which lens corrects myopia?,Convex lens,Concave lens,Cylindrical lens,No lens required,B,Concave lenses diverge rays and correct myopia.
Which phenomenon causes a rainbow?,Polarization,Dispersion of light,Reflection,Refraction,B,Rainbow is due to dispersion of white light by water droplets.
What is the ability of the eye to focus near and far objects called?,Persistence of vision,Accommodation,Adaptation,Correction,B,Accommodation is the eye's ability to change focal length.
Which structure holds the lens in place in the eye?,Retina,Optic nerve,Ciliary muscles,Vitreous humor,C,Ciliary muscles adjust and hold the lens.
The part of eye where image is formed is:,Cornea,Lens,Retina,Pupil,C,Images are formed on retina where photoreceptors are present.
A person with hypermetropia needs which lens?,Convex lens,Concave lens,Bifocal lens,Cylindrical lens,A,Convex lenses converge rays for correction of hypermetropia.
Which phenomenon explains the blue color of sky?,Polarization,Scattering of light,Reflection,Diffraction,B,"Blue light is scattered more, making the sky blue."
Which part of the eye controls the size of the pupil?,Iris,Lens,Retina,Sclera,A,Iris contracts or expands to control pupil size.
Why does the sun appear reddish at sunset?,Dispersion,Reflection,Scattering of longer wavelengths,Scattering of shorter wavelengths,C,Red light scatters less at sunset and reaches our eyes.
The eye defect where image forms behind the retina is:,Myopia,Astigmatism,Hypermetropia,Presbyopia,C,Hypermetropia: image formed behind retina (far sightedness).
Which layer protects the eye from dust and germs?,Cornea,Sclera,Retina,Optic nerve,A,Cornea forms outer transparent protective layer.
Twinkling of stars is due to:,Atmospheric refraction,Dispersion,Polarization,Interference,A,Atmospheric refraction bends star light causing twinkling.
Which colour of light bends most in a prism?,Red,Green,Violet,Yellow,C,Violet bends the most upon dispersion due to shortest wavelength.
Blind spot in the eye is:,Optic nerve exit point,Lens center,Cornea center,Pupil center,A,Blind spot is where optic nerve exits; no photoreceptors here.
Long sightedness is also called:,Myopia,Hypermetropia,Astigmatism,Presbyopia,B,Hypermetropia is the defect for long sightedness.
