Question,Option A,Option B,Option C,Option D,Correct,Reasoning
Sound is produced due to:,electric current,vibration of objects,chemical reaction,reflection of light,B,Sound is a mechanical wave generated when an object vibrates and sets particles of the surrounding medium into oscillation.
Sound cannot travel through:,air,water,steel,vacuum,D,"Sound needs a material medium to propagate because it is a mechanical disturbance; in vacuum, there are no particles, so sound cannot travel."
The SI unit of frequency is:,decibel,newton,hertz,joule,C,"Frequency is the number of oscillations per second, measured in hertz (Hz), where 1 Hz equals 1 vibration per second."
One oscillation per second corresponds to:,0.1 Hz,1 Hz,10 Hz,100 Hz,B,Frequency f is defined as number of oscillations per second; therefore 1 oscillation in 1 s has frequency 1 Hz.
The time taken to complete one oscillation is called:,frequency,wavelength,time period,amplitude,C,Time period T is the time required for one complete oscillation; it is related to frequency by T = 1/f.
The loudness of sound depends primarily on:,frequency,amplitude,speed,wavelength,B,Loudness is a subjective sensation that increases with the square of the amplitude of the sound wave; larger amplitude means louder sound.
The pitch of a sound depends on its:,amplitude,speed,frequency,wavelength only,C,Pitch is how high or low a sound appears and is directly related to frequency; higher frequency gives higher pitch.
Which of the following quantities is NOT a characteristic of a sound wave?,amplitude,frequency,wavelength,charge,D,"Sound waves are characterised by amplitude, frequency, wavelength and speed; electric charge is unrelated to sound propagation."
The SI unit of sound intensity level commonly used in practice is:,hertz,decibel,watt,pascal,B,"Sound intensity level is often measured on a logarithmic scale in decibel (dB), which compares the sound intensity to a reference level."
Human beings with normal hearing can usually hear sounds in the range:,2 Hz to 20 Hz,20 Hz to 20 kHz,200 Hz to 200 kHz,2 kHz to 200 kHz,B,"The audible range for a typical human ear is about 20 Hz at the low end up to 20,000 Hz (20 kHz) at the high end."
Sound waves in air are:,transverse waves,longitudinal waves,electromagnetic waves,standing waves only,B,"In air, sound propagates as longitudinal waves where particles of the medium oscillate parallel to the direction of wave propagation, forming compressions and rarefactions."
The distance between two consecutive compressions in a sound wave is:,amplitude,frequency,wavelength,time period,C,"Wavelength is defined as the distance between two consecutive points in the same phase, such as two compressions or two rarefactions."
Which of the following relations is correct for a sound wave?,v = λ/T,v = T/λ,v = λf,both v = λ/T and v = λf,D,"Wave speed v is given by v = λ/T since frequency f = 1/T, so v = λ/T = λf, making both relations correct."
"If the frequency of a sound wave is doubled while its speed remains constant, its wavelength becomes:",double,half,four times,unchanged,B,"Wave speed v = fλ. For constant v, λ is inversely proportional to frequency. Doubling frequency halves the wavelength."
The speed of sound is maximum in:,air,water,vacuum,steel,D,"Sound travels faster in solids because particles are more closely packed; among the options, speed is highest in steel and lowest in air."
"On increasing the temperature of air, the speed of sound in air:",decreases,remains same,first increases then decreases,increases,D,"Higher temperature increases the average kinetic energy of air molecules, allowing sound to travel faster, so speed of sound increases with temperature."
