Question,Option A,Option B,Option C,Option D,Correct,Reasoning
What is an atom?,The smallest particle of matter that can exist independently,The smallest unit of an element that retains the properties of the element,A combination of protons and neutrons only,A charged particle formed by loss or gain of electrons,B,An atom is the smallest indivisible unit of an element that retains all chemical properties of the element.
What are subatomic particles?,Particles that make up the nucleus,"Particles smaller than atoms like electrons, protons, and neutrons",Only negatively charged particles,Particles found in the outer shell only,B,"Subatomic particles are electrons, protons, and neutrons that make up the atom and are smaller than atoms."
Which scientist discovered the electron?,Rutherford,Goldstein,J.J. Thomson,Bohr,C,J.J. Thomson discovered the electron in 1897 through his cathode ray tube experiments.
What is the charge on a proton?,Negative,Positive,Neutral,Variable,B,A proton carries a positive charge equal to +1.6 × 10⁻¹⁹ coulombs.
Where are electrons located in an atom?,In the nucleus,In shells or orbitals around the nucleus,Both in nucleus and shells,On the surface of the nucleus,B,"Electrons are located in shells or energy levels around the nucleus, following Bohr's model."
What is the mass number of an atom?,The number of protons only,The total number of protons and neutrons,The number of electrons only,The number of energy levels,B,Mass number (A) = Number of protons (Z) + Number of neutrons (N).
What is atomic number?,The mass of an atom,The number of electrons in a neutral atom,The total mass of protons and neutrons,The number of energy shells,B,"Atomic number (Z) is the number of protons in an atom, which equals the number of electrons in a neutral atom."
"If an atom has atomic number 8, how many electrons does it have?",6,8,10,Cannot determine,B,"Atomic number = number of protons = number of electrons (in neutral atoms). So, 8 electrons."
An atom has 6 protons and 8 neutrons. What is its mass number?,6,8,14,2,C,Mass number = Protons + Neutrons = 6 + 8 = 14.
What are isotopes?,Atoms with the same number of protons but different number of neutrons,Atoms with different protons but same neutrons,Atoms with no neutrons,Atoms with the same mass number,A,Isotopes are atoms of the same element (same atomic number) with different mass numbers due to different neutrons.
Give an example of isotopes.,Carbon-12 and Carbon-14,Hydrogen and Oxygen,Proton and neutron,Sodium-23 and Potassium-39,A,Carbon-12 and Carbon-14 are isotopes of carbon; both have 6 protons but different numbers of neutrons.
What are isobars?,Atoms of different elements with the same atomic number,Atoms of different elements with the same mass number,Atoms with same number of neutrons,Atoms with same valency,B,Isobars are atoms of different elements that have the same mass number but different atomic numbers.
Which pair represents isobars?,¹²C and ¹⁴C,¹⁴N and ¹⁴C,¹H and ²H,¹⁶O and ¹⁸O,B,"¹⁴N (7 protons, 7 neutrons) and ¹⁴C (6 protons, 8 neutrons) are isobars with mass number 14."
